,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
372,nipawin,53.3668,-104.0009,35.6,48,75,20.71,1619125023
373,luis correia,-2.8792,-41.6669,79.56,80,23,6.22,1619125023
374,sangar,63.9242,127.4739,4.89,96,80,4.7,1619125024
375,duldurga,50.6761,113.5931,31.78,49,100,8.88,1619125024
376,kibre mengist,5.8833,38.9833,58.68,96,100,2.06,1619125024
377,mar del plata,-38.0023,-57.5575,71.6,73,75,10.36,1619124457
378,constitucion,-35.3333,-72.4167,58.86,76,100,10.83,1619125025
379,fairbanks,64.8378,-147.7164,52.0,31,1,12.66,1619125025
380,havelock,34.8791,-76.9013,61.0,25,1,11.5,1619125025
381,college,64.8569,-147.8028,51.01,34,1,9.22,1619124553
382,pimentel,-6.8367,-79.9342,75.2,60,0,24.16,1619125026
383,ormara,25.2088,64.6357,81.59,74,0,14.94,1619125026
384,bairiki,1.3292,172.9752,82.4,78,75,5.75,1619124745
385,lorengau,-2.0226,147.2712,81.79,80,100,5.7,1619125026
386,qasigiannguit,68.8193,-51.1922,30.2,69,100,5.75,1619125027
387,plana,49.8682,12.7438,41.0,52,0,9.22,1619125027
388,vieux-habitants,16.0589,-61.7659,82.4,65,20,16.11,1619125027
389,meulaboh,4.1363,96.1285,76.46,88,84,3.09,1619125027
390,wonosobo,-7.36,109.9025,64.33,90,17,0.58,1619125028
391,lagoa,39.05,-27.9833,56.77,78,60,41.76,1619125028
392,winnemucca,40.973,-117.7357,62.6,13,1,10.49,1619124689
393,santa marta,11.2408,-74.199,98.01,48,40,1.01,1619124967
394,pacocha,-17.5833,-71.3333,69.46,74,12,6.15,1619125029
395,norman wells,65.282,-126.8329,26.6,54,75,19.57,1619124744
396,cockburn town,21.4612,-71.1419,78.84,76,0,14.52,1619125029
